user_id,date,selection,city,neighborhood,gender,student,children,vehicle,family_status,age,category_name,choices,open notes,choise_1,choise_2,choise_3,choise_4,choise_5,choise_6,choise_7,choise_8,choise_9,choise_10,,,,,,,,,,
1220,13022019  10:39:12,בית,באר שבע,א,נקבה,כן,אין,אין,single,33,מסעדות ובתי קפה,"המבורגריה,מסעדת שף,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,פלאפל,פיצריה,שיפודיה\ סטקייה ,בר סלטים,סושיה,מאפיה\ קונדיטוריה,אוכל מוכן וקייטרינג",,המבורגריה,מסעדת שף,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,פלאפל,פיצריה,שיפודיה, סטקייה ,בר סלטים,סושיה,מאפיה, קונדיטוריה,אוכל מוכן וקייטרינג,,,,,,,
1220,13022019  10:39:32,בית,באר שבע,א,נקבה,כן,אין,אין,single,33,דברים לבית,"טמבוריה\ עשה זאת בעצמך,מוצרי בישול ואפייה,חנות פרחים,חנות תאורה,חנות מחשבים  ,אלקטרוניקה וחשמל,מסגרות וזכוכית,חנות רהיטים ",,טמבוריה, עשה זאת בעצמך,מוצרי בישול ואפייה,חנות פרחים,חנות תאורה,חנות מחשבים  ,אלקטרוניקה וחשמל,מסגרות וזכוכית,חנות רהיטים ,,,,,,,,,,,
1220,13022019  10:39:49,בית,באר שבע,א,נקבה,כן,אין,אין,single,33,שירותים מקצועיים,"הנהלת חשבונות,מכבסה,עריכת דין,פסיכולוג",,הנהלת חשבונות,מכבסה,עריכת דין,פסיכולוג,,,,,,,,,,,,,,,,
1220,13022019  10:40:06,בית,באר שבע,א,נקבה,כן,אין,אין,single,33,"תחביבים, ספורט ופנאי","מכון כושר,חדר בריחה,בריכת שחיה,חנות כלי נגינה,אימון אישי (כושר),יוגה\ פילאטיס\ זומבה,בית קולנוע ,מועדון,פאב\ בר",,מכון כושר,חדר בריחה,בריכת שחיה,חנות כלי נגינה,אימון אישי (כושר),יוגה, פילאטיס, זומבה,בית קולנוע ,מועדון,פאב, בר,,,,,,,,
1552,13022019  14:07:51,בית,באר שבע,א,,,,,,,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,מסעדת אוכל ביתי ,מאפיה\ קונדיטוריה",,בית קפה שכונתי שהוא לא רשת,מסעדת אוכל ביתי ,מאפיה, קונדיטוריה,,,,,,,,,,,,,,,,
1552,13022019  14:08:11,בית,באר שבע,א,,,,,,,קופת חולים ופארם,"בית מרקחת\ חנות פארם,מוצרים אורטופדיים,קופת חולים",,בית מרקחת, חנות פארם,מוצרים אורטופדיים,קופת חולים,,,,,,,,,,,,,,,,
1552,13022019  14:08:39,בית,באר שבע,א,,,,,,,"תחביבים, ספורט ופנאי","השכרת אופניים\ קורקינט,בריכת שחיה,חנות צילום ,יוגה\ פילאטיס\ זומבה,מועדון",,השכרת אופניים, קורקינט,בריכת שחיה,חנות צילום ,יוגה, פילאטיס, זומבה,מועדון,,,,,,,,,,,,
163,12022019  14:07:34,בית,באר שבע,א,נקבה,לא,יש,יש,married,34,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,מיצים טבעיים,בר סלטים",,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,מיצים טבעיים,בר סלטים,,,,,,,,,,,,,,,,
163,12022019  14:07:46,בית,באר שבע,א,נקבה,לא,יש,יש,married,34,קופת חולים ופארם,"בית מרקחת\ חנות פארם,רפואה אלטרנטיבית\ משלימה",,בית מרקחת, חנות פארם,רפואה אלטרנטיבית, משלימה,,,,,,,,,,,,,,,,
163,12022019  14:08:03,בית,באר שבע,א,נקבה,לא,יש,יש,married,34,דברים לבית,"משתלה,מוצרי בישול ואפייה,סטוק, חנות כלי בית",,משתלה,מוצרי בישול ואפייה,סטוק, חנות כלי בית,,,,,,,,,,,,,,,,
